transaction_id,transaction_date,vendor_id,department,payment_method,amount,approved
TXN00001,2025-01-01 00:00:00.000000000,Vendor_052,Finance,Card,1169.19,Yes
TXN00002,2025-01-01 08:44:41.081081081,Vendor_093,Procurement,Card,299.52,Yes
TXN00003,2025-01-01 17:29:22.162162162,Vendor_015,Operations,Card,2916.06,Yes
TXN00004,2025-01-02 02:14:03.243243243,Vendor_072,IT,Card,12305.5,Yes
TXN00005,2025-01-02 10:58:44.324324324,Vendor_061,Finance,Cheque,11259.95,Yes
TXN00006,2025-01-02 19:43:25.405405405,Vendor_021,Procurement,Cheque,2067.97,Yes
TXN00007,2025-01-03 04:28:06.486486486,Vendor_083,HR,Cheque,1841.31,Yes
TXN00008,2025-01-03 13:12:47.567567567,Vendor_087,Sales,Bank Transfer,4337.35,Yes
TXN00009,2025-01-03 21:57:28.648648648,Vendor_075,Operations,Card,1341.16,Yes
TXN00010,2025-01-04 06:42:09.729729729,Vendor_075,Finance,Card,3794.98,Yes
TXN00011,2025-01-04 15:26:50.810810810,Vendor_088,Finance,Cheque,250000.0,Yes
TXN00012,2025-01-05 00:11:31.891891891,Vendor_100,IT,Card,7954.93,Yes
TXN00013,2025-01-05 08:56:12.972972973,Vendor_024,IT,Card,2751.43,Yes
TXN00014,2025-01-05 17:40:54.054054054,Vendor_003,HR,Cheque,2532.75,Yes
TXN00015,2025-01-06 02:25:35.135135135,Vendor_022,Sales,Bank Transfer,1476.77,Yes
TXN00016,2025-01-06 11:10:16.216216216,Vendor_053,HR,Bank Transfer,1538.4,Yes
TXN00017,2025-01-06 19:54:57.297297297,Vendor_002,Procurement,Bank Transfer,2486.96,Yes
TXN00018,2025-01-07 04:39:38.378378378,Vendor_088,Procurement,Cheque,3999.37,No
TXN00019,2025-01-07 13:24:19.459459459,Vendor_030,HR,Card,6191.1,Yes
TXN00020,2025-01-07 22:09:00.540540540,Vendor_038,Sales,Cheque,1567.84,Yes
TXN00021,2025-01-08 06:53:41.621621621,Vendor_002,HR,Cheque,175000.0,Yes
TXN00022,2025-01-08 15:38:22.702702702,Vendor_064,Sales,Card,2399.71,Yes
TXN00023,2025-01-09 00:23:03.783783783,Vendor_060,Sales,Bank Transfer,2930.44,Yes
TXN00024,2025-01-09 09:07:44.864864864,Vendor_021,Operations,Bank Transfer,1639.64,Yes
TXN00025,2025-01-09 17:52:25.945945946,Vendor_033,Sales,Cheque,428.64,Yes
TXN00026,2025-01-10 02:37:07.027027027,Vendor_076,IT,Bank Transfer,6046.51,Yes
TXN00027,2025-01-10 11:21:48.108108108,Vendor_058,Sales,Cheque,5374.79,Yes
TXN00028,2025-01-10 20:06:29.189189189,Vendor_022,Sales,Cheque,2380.2,Yes
TXN00029,2025-01-11 04:51:10.270270270,Vendor_089,Sales,Card,3145.07,Yes
TXN00030,2025-01-11 13:35:51.351351351,Vendor_049,Procurement,Card,4504.14,Yes
TXN00031,2025-01-11 22:20:32.432432432,Vendor_091,IT,Card,854.03,No
TXN00032,2025-01-12 07:05:13.513513513,Vendor_059,IT,Cheque,1952.29,Yes
TXN00033,2025-01-12 15:49:54.594594594,Vendor_042,HR,Card,5627.45,Yes
TXN00034,2025-01-13 00:34:35.675675675,Vendor_092,Operations,Bank Transfer,1092.88,Yes
TXN00035,2025-01-13 09:19:16.756756756,Vendor_060,Sales,Bank Transfer,3770.06,Yes
TXN00036,2025-01-13 18:03:57.837837837,Vendor_080,Finance,Cheque,1007.0,Yes
TXN00037,2025-01-14 02:48:38.918918919,Vendor_015,Operations,Cheque,4329.23,Yes
TXN00038,2025-01-14 11:33:20.000000000,Vendor_062,Operations,Card,2897.16,Yes
TXN00039,2025-01-14 20:18:01.081081081,Vendor_062,IT,Cheque,818.84,Yes
TXN00040,2025-01-15 05:02:42.162162162,Vendor_047,Operations,Cheque,7568.81,Yes
TXN00041,2025-01-15 13:47:23.243243243,Vendor_062,Sales,Bank Transfer,1656.28,No
TXN00042,2025-01-15 22:32:04.324324324,Vendor_051,Sales,Bank Transfer,1559.0,Yes
TXN00043,2025-01-16 07:16:45.405405405,Vendor_055,Procurement,Card,3499.78,Yes
TXN00044,2025-01-16 16:01:26.486486486,Vendor_064,Sales,Cheque,7471.94,Yes
TXN00045,2025-01-17 00:46:07.567567567,Vendor_003,Sales,Cheque,1322.58,Yes
TXN00046,2025-01-17 09:30:48.648648648,Vendor_051,IT,Bank Transfer,3131.74,Yes
TXN00047,2025-01-17 18:15:29.729729729,Vendor_007,Sales,Cheque,4200.9,Yes
TXN00048,2025-01-18 03:00:10.810810810,Vendor_021,Procurement,Bank Transfer,5189.98,Yes
TXN00049,2025-01-18 11:44:51.891891892,Vendor_073,Finance,Card,3432.87,Yes
TXN00050,2025-01-18 20:29:32.972972973,Vendor_039,IT,Bank Transfer,2222.48,Yes
TXN00051,2025-01-19 05:14:14.054054054,Vendor_039,Finance,Cheque,1537.52,Yes
TXN00052,2025-01-19 13:58:55.135135135,Vendor_039,IT,Card,3193.64,Yes
TXN00053,2025-01-19 22:43:36.216216216,Vendor_089,HR,Bank Transfer,2222.48,Yes
TXN00054,2025-01-20 07:28:17.297297297,Vendor_060,Operations,Bank Transfer,287.99,Yes
TXN00055,2025-01-20 16:12:58.378378378,Vendor_014,HR,Card,4227.0,Yes
TXN00056,2025-01-21 00:57:39.459459459,Vendor_009,Sales,Card,6143.49,Yes
TXN00057,2025-01-21 09:42:20.540540540,Vendor_090,Finance,Bank Transfer,450.18,Yes
TXN00058,2025-01-21 18:27:01.621621621,Vendor_053,Sales,Cheque,1329.04,Yes
TXN00059,2025-01-22 03:11:42.702702702,Vendor_002,Operations,Bank Transfer,4891.84,Yes
TXN00060,2025-01-22 11:56:23.783783783,Vendor_084,IT,Card,15459.77,Yes
TXN00061,2025-01-22 20:41:04.864864865,Vendor_092,Operations,Bank Transfer,3030.96,Yes
TXN00062,2025-01-23 05:25:45.945945946,Vendor_060,Procurement,Card,1665.03,Yes
TXN00063,2025-01-23 14:10:27.027027027,Vendor_071,Operations,Card,2575.2,Yes
TXN00064,2025-01-23 22:55:08.108108108,Vendor_044,Procurement,Cheque,8954.41,Yes
TXN00065,2025-01-24 07:39:49.189189189,Vendor_008,Operations,Card,1777.97,Yes
TXN00066,2025-01-24 16:24:30.270270270,Vendor_047,Procurement,Card,1572.85,Yes
TXN00067,2025-01-25 01:09:11.351351351,Vendor_035,Finance,Cheque,2025.97,Yes
TXN00068,2025-01-25 09:53:52.432432432,Vendor_078,Sales,Card,1390.39,Yes
TXN00069,2025-01-25 18:38:33.513513513,Vendor_081,Sales,Cheque,3288.33,Yes
TXN00070,2025-01-26 03:23:14.594594594,Vendor_036,HR,Cheque,10935.21,Yes
TXN00071,2025-01-26 12:07:55.675675675,Vendor_050,Sales,Card,3860.16,Yes
TXN00072,2025-01-26 20:52:36.756756756,Vendor_004,IT,Card,2436.01,Yes
TXN00073,2025-01-27 05:37:17.837837838,Vendor_002,Operations,Bank Transfer,2360.32,Yes
TXN00074,2025-01-27 14:21:58.918918919,Vendor_006,HR,Cheque,853.59,Yes
TXN00075,2025-01-27 23:06:40.000000000,Vendor_054,IT,Bank Transfer,6041.98,No
TXN00076,2025-01-28 07:51:21.081081081,Vendor_004,IT,Card,2801.0,Yes
TXN00077,2025-01-28 16:36:02.162162162,Vendor_054,Procurement,Bank Transfer,2580.18,Yes
TXN00078,2025-01-29 01:20:43.243243243,Vendor_093,Sales,Cheque,38349.09,Yes
TXN00079,2025-01-29 10:05:24.324324324,Vendor_063,Finance,Bank Transfer,3785.76,Yes
TXN00080,2025-01-29 18:50:05.405405405,Vendor_018,Finance,Cheque,1633.64,Yes
TXN00081,2025-01-30 03:34:46.486486486,Vendor_090,HR,Card,2119.45,Yes
TXN00082,2025-01-30 12:19:27.567567567,Vendor_044,Finance,Card,7470.79,No
TXN00083,2025-01-30 21:04:08.648648648,Vendor_034,Operations,Cheque,3263.7,Yes
TXN00084,2025-01-31 05:48:49.729729730,Vendor_074,Finance,Card,943.29,Yes
TXN00085,2025-01-31 14:33:30.810810811,Vendor_062,HR,Card,6219.12,Yes
TXN00086,2025-01-31 23:18:11.891891892,Vendor_100,Finance,Card,1746.7,Yes
TXN00087,2025-02-01 08:02:52.972972973,Vendor_014,Operations,Card,13341.55,Yes
TXN00088,2025-02-01 16:47:34.054054054,Vendor_095,Procurement,Cheque,7072.99,Yes
TXN00089,2025-02-02 01:32:15.135135135,Vendor_048,HR,Bank Transfer,2084.2,Yes
TXN00090,2025-02-02 10:16:56.216216216,Vendor_015,Procurement,Bank Transfer,8306.66,Yes
TXN00091,2025-02-02 19:01:37.297297297,Vendor_072,Procurement,Card,3147.25,Yes
TXN00092,2025-02-03 03:46:18.378378378,Vendor_078,Procurement,Bank Transfer,5897.12,Yes
TXN00093,2025-02-03 12:30:59.459459459,Vendor_087,IT,Bank Transfer,4393.08,Yes
TXN00094,2025-02-03 21:15:40.540540540,Vendor_062,Sales,Card,1514.61,Yes
TXN00095,2025-02-04 06:00:21.621621621,Vendor_040,IT,Card,1781.41,Yes
TXN00096,2025-02-04 14:45:02.702702703,Vendor_085,Sales,Bank Transfer,6795.18,Yes
TXN00097,2025-02-04 23:29:43.783783784,Vendor_080,Procurement,Cheque,2280.57,Yes
